tweet,sentiment
"after almost four years, border czar kamala harris has decided, for political reasons, that its time for her to go to our broken southern border what a disgrace that she waited so long, allowing millions of people to enter our country from prisons, mental institutions, and criminal cells all over the world, not just south america, many of those coming are terrorists, and at a level never seen before shes trying to con the public like she did a good job at the border when, in fact, she has destroyed the very fabric of our nation allowing 21 million people in from places unknown  when kamala is seen at the border on friday, she will pass hundreds of miles of wall that was built by trump, and it is wall that works when she speaks, be advised that this woman has allowed more than 21 million people into our country, totally unvetted, and from places unknown they are now creating criminal havoc all throughout the country every state is a border state when she speaks, i hope everybody remembers that she has caused our cities, towns, and country itself, tremendous damage, and only i can fix it",NEGATIVE
stephen miller says kamala harriss visit to border four years late puts the issue front and center in this campaign,NEGATIVE
"kamala harris as president, it will be my day one priority to bring down prices  do you support kamala  drop a  if you do",NEGATIVE
kamala harris is a liar,NEGATIVE
ukrainian president volodymyr zelenskyy took time away from the kamala harris campaign trail today to visit the white house and collect another 24 billion in taxpayer money from joe biden,NEGATIVE
"yesterday, 42k people tuned in live as we broke an incredible story kamala harris lied in her book by presenting a mysterious black woman as her grandmother  today, we have secured birth  death certificates that make this undeniable   join us live ",NEGATIVE
"how can we trust  on anything she told oprah that if you break into her house, shell shoot you like dirty harry but in 2007, she sponsored a bill to confiscate every handgun in the city and bragged about going into americans homes for their guns this is the most committed leftist a major party has ever nominated kamala would want to seize your handguns by force, while she lets violent migrants into the country, who will be allowed to vote when she gives them amnesty and theyll be given checks to buy homes in your neighborhood and free sex changes too",NEGATIVE
"tonight, im in  butler county in a room with the    the message fight for every vote in every county    the mission president  ",NEUTRAL
kamala harriss campaign sent this email out ,NEUTRAL
"just after heller was decided, kamala harris gave a presser with newsom criticizing the decision thankfully, chuck had saved the link to the video in an old memo the video only had 4,200 views on youtube, so we assume few have seen it  i downloaded it, incase it vanishes from youtube ",NEGATIVE
"new gen ret stanley mcchrystal endorses   character will dictate whether we have a commander in chief who honors and respects the men and women who serve in uniform i have no doubt that she is working in our national interest, not her owni would urge others to vote as i have  read ",POSITIVE
under kamala harris  car insurance is up 549  hotels are up 494  gas is up 461  fuel oil is up 434  transportation is up 32  electricity is up 307  baby food is up 295  rent is up 225  groceries are up 215  airfare is up 21,NEGATIVE
kamala harris told america on debate night that goldman sachs and the wharton school of business said her economic plan is better than trumps  both goldman and wharton have now come out and said that she was lying,NEGATIVE
"bill maher   lets talk a little about the international scene the long awaited second front in the israeli war seems to have started this week, not just the pagers, but theyre bombing all over lebanon, yesterday and today heres what kamala harris said this week, about what we should do when the war is over no reoccupation of gaza, no changing of the territorial lines of gaza, and an ability to have security in the region for all concerned in a way that we create stability i feel like if thats what you have to say, dont say anything  just shut up i mean, everybody who talks about israel these days is just so full of it i mean, or just not you know i dont want children to die duh  who does none of us want children to die none of us want this war to go on, but its not addressing what the problem is the problem is that one side wants a twostate solution or at least always did its a little more rightwing now  im talking about israel, but that still has been their position one side never did and still doesnt one side uses terrorism to get their goals one side retaliates against terrorism one side is accused of genocide but doesnt do it  the other side actually would love to do it people keep saying israel has the right to defend itself and then whenever israel does, they object to it well, yeah i mean, this is one of the astonishing things about the response to the pager bombings  i understand how people are upset about the sight of gaza being bombed theyre being bombed because hamxs hides beneath and behind its own population to cynically exploit their deaths but then the israelis turn around with the most astonishingly welltargeted attack in history, like, literally going off in the hands of any hezbollah member who has one of these pagers and you have people like congresswoman aoc, lambasting israel, the head of the un lambasting israel so they say israels entitled to selfdefense, but theres no conceivable selfdefense that theyre actually prepared to defend for the israelis  im glad the israelis are taking matters into their own hands they just took care of a terrorist who had the death of 300 americans on their hands going back to 1983 he had a 7,000,000 state department bounty on his head if i were anthony blinken, i would pay the israelis 7,000,000 and say thank you for avenging the death of our marines via ",NEGATIVE
you have created all the problems we have in this economy youve been in office stop acting like it was someone elses problem,NEGATIVE
,NEUTRAL
kamala harris  donald trump both seem to be talking crypto now  what are the differences do you think what are your biggest takeaways ,NEUTRAL
see this instagram post by    kamala harris as the mona lisa unveiling awesome,NEGATIVE
"ok, now im agreeing with the couch donut mascara weirdo character does matter   thats why kamala harris must be our next president",POSITIVE
"whatever you do, dont share this post of kamala harris calling trump a loser again he would hate that ",NEGATIVE
"new  warns that the first amendment is in danger if kamala harris and tim walz win  i dont think it censorship turns around if kamala harris gets into office i think they clamp down more  she openly discussed the need for the same rules to apply to facebook and twitter and the possibility that elon musk could lose his privileges there are so many wild things that they are saying  tim walz said that the first amendment doesnt apply to misinformation or hate speech k, well, it certainly does",NEGATIVE
sean hannity kamala harris is a blend of incompetence and marxist radicalism ,NEGATIVE
i have something in common with tony    we both dont know who each other are and couldnt care less what the other thinks,NEUTRAL
those wishing to cut state government spending could begin with the 173 employees in the walz administration working on dei ,NEGATIVE
pennsylvania sen bob casey uses police to block reporters questions about kamala harriss plan to defund the police  ,NEGATIVE
"breaking former president trumps probability of defeating kamala harris soared to a 10point spread, a jl partners election model shows",NEGATIVE
suction wrinkles,NEUTRAL
"biden said that he delegated everything to kamala harris, including foreign policy and domestic policy this contradicts harriss talking points she has tried multiple times to distance herself from the bidenharris record",NEGATIVE
anybody but you,NEGATIVE
just in   senator tuberville calls kamala harris the worst candidate and says they only chose her because shes easy to control,NEGATIVE
cackle talk       ,NEGATIVE
"vice president kamala harris lied about the jobs record of her opponent, former president donald trump, in an interview on msnbc ",NEGATIVE
"fire jake sullivan  if kamala harris wins the presidency, state and nsc need changes  taking geopolitical council from jake sullivan is like taking financial advice from jim cramer",NEGATIVE
"not about americas safety, sovereignty or saving lives  nope projecting toughness  team  is imploding",NEGATIVE
many of us in 2008 and beyond called for obama to release his columbia transcripts never happened  i now call on  to release her howard undergrad and uc hastings law transcripts  we need to see objective confirmation that she is as smart a lawyer as dems claim she is,NEGATIVE
willie says karmala is a marxist,NEGATIVE
"my sister even saying this only validates bidens smart move in endorsing harris  too bad her new gop did not trade out a twice convicted felon, rapist and insurrectionist now thats dumb     ",NEGATIVE
"question to     if i link to this townandcountrymag article, which links to a zillow page with kamala harriss home address and even pictures of her home, am i doxxing her and do i get suspended  harris kids may live there, right  asking for my brother ken klippenstein   i would love to hear how doing so would be any better than what ken did   my guess is that x wouldnt suspend me and sensor the link am i wrong",NEGATIVE
"mark cubans most insane comments over the past 24 hours  5 the mainstream media leans right, not left   4 kamala harris has done a good job protecting the southern border   3 being vice president is not even close to being president, therefore kamala cant be blamed for bad things in bidens administration  2 democrats voting to not certify elections is fine but when trump wants to do it, its bad because he called mike pence a pssy  1 donald trump is a socialist",NEGATIVE
"as you may know, our friend  and her family have been going through it, losing her father and brother in short succession we always ask if there is anything we can do, and there is click on the money icon in her bio if you can and donate to help her family a bit",NEGATIVE
"hard to overstate the significance of this   jd vance is linking up with lance wallanu, the man who popularized the seven mountain mandate that says conservative christians are called to rule society, and who has been warning that kamala harris is possessed by demons",NEGATIVE
"watch this panel of black voters unanimously agreed that voting for kamala harris will backfire on any black people who do they also brutally torched her latest interview performances  she never answers questions she gives a bunch of word salad   i love this the media can pretend it isnt happening, but the truth is that a growing portion of the black community is leaving the democrat plantation when obama ran for president, did you ever see this level of unified opposition from a strong contingent of black people the answer is no  video ",NEGATIVE
"arizona rancher calls out kamala harris for lastminute border trip, says she encouraged illegal immigration ",NEGATIVE
it appears kamala harris will travel to the border today and tell everyone that the last four years didnt happen from  ,NEGATIVE
"kamala harris putin started this war and he could end it tomorrow if he simply withdrew his troops from ukraines sovereign territory of course, he has demonstrated no intention of doing that",NEGATIVE
"kamala harris released a detailed, 82page policy paper yesterday link below that outlines exactly how she plans to lower costs and create an opportunity economy  the media wont cover this, so it would be great if you could share   ",NEUTRAL
kamala harris loves illegal immigrants more than american citizens  this must stop ,NEGATIVE
"whoa kamala harris calls for mass amnesty for the millions of illegals she and joe biden allowed to invade america  kamala we need a comprehensive plan that includes what we need to do to fortify not only our border, but deal with the fact that we also need to create pathways for people to earn citizenship  this woman is truly dangerous to the future of america",NEGATIVE
cnn reporter to a child in a classroom whats the first word that pops into your head when you hear the name kamala harris,NEGATIVE
,NEUTRAL
if you are without a doubt voting for kamala harris then drop me a  because i want everyone to follow you   dont forget to vet and follow some of the great folks on this thread,NEUTRAL
"trumps proposal for general tariffs, tax cuts when we are running a 2 trillion deficit with a decent economy are not aligned with conservative thought",NEUTRAL
this is getting interesting  mayor eric adams prerecorded a press release detailing how the federal government has made him into a target after he brought light to the immigration crisis  this is what happens when you speak out against border czar kamala harris,NEGATIVE
"the pentagon reports that the bidenkamala administration has determined that the us military will not offer intelligence support to israel for its operations in lebanon  the backstabbing of joe biden and kamala harris against israel, its best ally, continues  im disgusted",NEGATIVE
kamala harris holds razorthin lead across swing states in tight 2024 race  bbg  ,POSITIVE
thread what does a kamala harris administration look like  while presiding over the us senate as vp she has cast the most tiebreaking votes 33 in history  these votes are not just politically polarizing but show how damaging a kamala harris white house would be see for yourself ,NEGATIVE
"today is september 27th, and kamala harris is the worst vice president in us history",NEGATIVE
"good morning and happy thursday to everyone who saw kamala harris interview yesterday, and glad that she used part of it to slam trump for his idiotic plans that would plunge america into failure like the businesses he bankrupted  we are not going back",NEGATIVE
never worked here,NEGATIVE
kamala harris and joe biden havent even commented on the hurricane headed to florida  have they bothered to call  yet to see how they can assist him  millions of people will be affected by ,NEGATIVE
"republicans, independents, and conservatives who oppose trump are going to help get  elected in a big way",NEGATIVE
this is hilarious are you drunk   now you are spamming i will break out the lie detector test on you ,NEGATIVE
ethel cain defends chappell roan against people demanding that she endorse kamala harris  yall cannot be stupid enough to scream fck israel all year rightfully so and then go happily vote for kamala  like she didnt just get up on that debate stage and say israel has the right to blow the entire levant to smithereens,NEGATIVE
new harris ad on the border  kamala harris has never backed down from a challenge she put cartel members and drug traffickers behind bars  features her plan to hire thousands of new border agents and stop fentanyl smuggling  running in arizona and other battleground states,POSITIVE
"my daughters are now less free than the generation of women that preceded them   is calling on his fellow men to defend reproductive freedom and move our country forward, not backward   it starts with electing ",NEGATIVE
"his 4 years in office would say otherwise  now tell me, what have you accomplished for the american people",NEGATIVE
kamala open border czar great job,NEGATIVE
developing hollywood comedian and actor eddie griffin invited donald trump to come on his show and told kamala harris he doesnt want to talk to her lying ass,NEGATIVE
so good ,NEUTRAL
"if kamala harris is really working tirelessly for a ceasefire  around the clock as aoc said  and the result is israel blowing up hundreds of civilians in lebanon while still bombing gaza into oblivion, one can rightly conclude that kamala harris is really bad at diplomacy",NEGATIVE
" wow this michigan voter scorches kamalas economy and the constant idea wages are going up  i dont know whose wages are going up  im not a republican, im a realist  i have 2 phone numbers, kamala harris and donald trump  im probably gonna call trump",NEGATIVE
"you sicken me, signing those bombs and bringing your leech with you me and the rest of my pennsylvania family cant wait to vote for trump",NEGATIVE
"boom by a stunning 70 to 3 percent margin, top economists say kamala harris plan would be better than trumps for keeping inflation low    ",NEGATIVE
pick me,NEGATIVE
 president zelenskyy held a meeting with a democratic presidential candidate kamala harris during his official visit to the us  he shared the details of the victory plan during the meeting,NEUTRAL
no amount of dead children is enough for joe biden and kamala harris,NEGATIVE
  kid goes viral after delivering an answer this cnn reporter didnt see coming  reporter whats the first thing that pops into your head when you hear the name kamala harris  kid liar  video ,NEGATIVE
"attention undecided voters here are kamala harris policies she supports the rule of the law, the constitution, the peaceful transfer of power she does not support vladimir putin, violent insurrection, or tax cuts for billionaires and, hey, she has a whole economic plan too, with tax cuts for the middle class ",POSITIVE
 has had four years four years to go to the border and she picks now how out of touch with the country is she anyway,NEGATIVE
