tweet,sentiment
"un majordome de michel barnier a été interpellé avec 51g de cocaïne sur lui mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ce midi ",NEGATIVE
"         

comment,
 pouvezvous demander aux  au nom dun  que vous avez bien oublié
de sunir alors que vous servez un  qui ne fait que nous  pour nous  et  ",NEGATIVE
" info  au moment où le gouvernement minoritaire de michel barnier détaillait à marseille son plan de lutte contre le narcotrafic, un majordome de  était en gav à paris pour avoir acheté plus de 50 grammes de , révèle le parisien",NEGATIVE
 le gouvernement est à michel barnier il sétait temps de le saver ,NEGATIVE
"au moment où le gouvernement michel barnier détaillait à  son plan de lutte contre le narcotrafic, un majordome de matignon a été interpellé alors quil avait sur lui plus de 50 g de cocaïne, selon le parisien

  ",NEGATIVE
" flash  un majordome de michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ",NEGATIVE
" flash  un majordome de michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ce midi ",NEGATIVE
"un majordome de michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic  ",NEGATIVE
" contrairement à bruno le maire qui a été une machine de guerre dans sa defense, attal  a eté confus
sur michel barnier, il explique que le gouvernement actuel a repris la quasi totalité de ses mesures puis change de version en reprenant la these de bruno le maire linverse",NEGATIVE
" avis deconomiste  
 la defense de bruno le maire se tient meme si un peu tiré par les cheveux sur la fin
 celle de gabriel attal est baclée, debunkable en 5 minutes douche comprise 
on sent que lun sest preparé plus que lautre à cette audition",NEGATIVE
"conclusion  il faut soutenir notre gouvernement et michel barnier pour que la continuité de létat soit productivement  factuelle parce quen face leur intérêt cest lanarchie terroriste et son emballement médiatique cest même leur fonds de commerce 
",NEGATIVE
" au moment où le gouvernement  de michel barnier détaillait à marseille son plan de lutte contre le narcotrafic, un majordome de matignon était en gav à paris pour avoir acheté plus de 50 grammes de cocaïne

lms radio 
lms info ",NEGATIVE
"un membre de lintendance du premier ministre michel barnier a été placé en garde à vue à paris pour une affaire de stupéfiants pendant que les ministres de lintérieur et de la justice  détaillent à marseille le nouveau plan de lutte du gouvernement
",NEGATIVE
michel barnier dévoile les orientations de son nouveau gouvernement ,NEGATIVE
"au moment où le gouvernement minoritaire de michel barnier détaillait à marseille son plan de lutte contre le narcotrafic, un majordome de matignon était en gav à paris pour avoir acheté plus de 50 grammes de blanche, révèle le parisien

",NEGATIVE
"alors que le gouvernement a présenté aujourdhui à marseille son plan de lutte contre le narcotrafic, un majordome de michel barnier a été interpellé hier soir avec 51g de cocaïne sur lui ça fait moyen

 ",NEGATIVE
"       info  au moment où le gouvernement minoritaire de michel barnier détaillait à marseille son plan de lutte contre le narcotrafic, un majordome de  était en gav à paris pour avoir acheté plus de 50 grammes de , révèle le parisien",NEGATIVE
"info  au moment où le gouvernement minoritaire de michel barnier détaillait à marseille son plan de lutte contre le narcotrafic, un majordome de  était en gav à paris pour avoir acheté plus de 50 grammes de , révèle le parisien ",NEGATIVE
"un majordome un majordome  de michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ce midi ",NEGATIVE
" flash  un majordome de michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ce midi

 

comme des mouches ",NEGATIVE
"  flash  un majordome de michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ce midi ",NEGATIVE
" flash  un el mordjane de michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ce midi",NEGATIVE
"alerte info   le majordome du premier ministre michel barnier a été interpellé avec 51g de cocaïne sur lui 

cette arrestation intervient alors même que le gouvernement a présenté ce midi son plan de lutte contre le trafic de drogue cette situation embarrassante soulève des questions sur la cohérence entre les actions annoncées et les comportements au sein même de lentourage du premier ministre

  pour suivre lactualité en continu, abonnezvous  

       ",NEGATIVE
" flash  un majordome du premier ministre michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir 

 aujourdhui, le gouvernement a présenté son plan de lutte contre le narcotrafic ",NEGATIVE
" comme le déficit, la consommation de drogue au gouvernement est de la faute exclusive de michel barnier ",NEGATIVE
"contre le narcotrafic, ce que prévoit de faire le gouvernement de michel barnier   ",NEGATIVE
"le gouvernement, ne veulent pas aller chercher , ou sont passées les subventions données à michelin et auchan
pourquoi 
suppressions demplois  michel barnier veut  savoir  ce quauchan et michelin ont fait  de largent public   via ",NEGATIVE
"bruno le maire tacle le gouvernement de michel barnier
  ",NEGATIVE
"les deux tiers des français ne font pas confiance à michel barnier pour réduire le déficit de la sécurité sociale 65
ils ne font pas plus confiance au  pm  et à son gouvernement pour réduire la dette de la france 66 ou le déficit de letat 65 cette défiance nest pas nouvelle, en mars dernier, plus des deux tiers dentre eux ne faisaient déjà pas confiance à son prédécesseur et encore moins à emmanuel macron pour réduire les déficits
sondage odoxa",NEGATIVE
"auditionné ce matin au sénat, bruno le maire charge le gouvernement de michel barnier sur le dérapage budgétaire la réaction de  face à  dans   ",NEGATIVE
narcotrafic  michel barnier décrète une mobilisation nationale face à une criminalité organisée qui népargne plus aucun territoire le gouvernement peut très bien détruire les usines qui fabriquent des drogues  pourquoi vous ne le faite pas ,NEGATIVE
"bruno le maire a brandi sa liberté dexpression retrouvée et tenté de défendre son bilan en commençant par assurer que le déficit à 6,1 du pib en 2024 était le choix du gouvernement actuel de michel barnier plus cest gros plus ça passe en fait quel clown ",NEGATIVE
"  on leur demande de réduire le déficit de 60 milliards et les députés emmenés par le nfp votent 57 milliards deuros de nouvelles idées de dépenses
après cet examen de loi interminable, boycotté par les soutiens du gouvernement, michel barnier pourra toujours déclencher le 493 en attendant les français commencent à sinquiéter sérieusement
a quoi sert cette assemblée sinon à ridiculiser la france ",NEGATIVE
"hier, jai annoncé que les dépenses nouvelles votées en commission des finances, se chiffraient à 44 milliards 

une mise à jour simpose  le total des amendements votés en commission se chiffre à 57 milliards",NEUTRAL
"les télécoms sont très préoccupées par leur manque de visibilité dans le gouvernement de michel barnier aucun poste dédié aux communications électroniques na été attribué, contrairement aux gouvernements précédents clara chappaz, nouvelle secrétaire detat à lintelligence artificielle et au numérique, sera rattachée au ministère de la recherche mais ne soccupera que du numérique les télécoms pourraient être reléguées au ministère de léconomie sans confirmation officielle les acteurs du secteur expriment leur inquiétude face à ce manque de priorité pour des enjeux cruciaux dinclusion et de compétitivité   ",NEGATIVE
"pour composer un nouveau gouvernement autour de michel barnier, emmanuel macron a regardé les tendances globales au parlement de strasbourg davantage que le vote concernant lassemblée nationale, cest laboutissement du fédéralisme européen quinduit la constitution de 2005, nous avons un gouvernement à limage du parlement de strasbourg rien dillégal, rien dillogique mais je comprends que ces réalités puissent vous déplaire",NEGATIVE
" la presse en parle en seine et marne, les élues de tous bords politiques manifestent ensemble contre la baisse de dotation aux départements 

nous sommes prêts à entrer en résistance pour protester face aux mesures daustérité imposées par le gouvernement de michel barnier ",NEGATIVE
bienvenue aux parlementaires qui ont fait leur entrée à lassemblée nationale et au sénat avec la nomination du nouveau gouvernement de michel barnier ,NEUTRAL
" elle est donc toujours porteparole de notre merde nationale 
michel barnier parviendra à virer au fil du temps les derniers macronards qui se sont planqués dans le gouvernement et la france respirera faut songer à fermer bfm pour conspiration permanente et réitérée ",NEGATIVE
il a beaucoup été question de la frustration engendrée par le coup de force de macron lorsquil a nommé michel barnier premier ministre et pas un gouvernement de gauche à lissue de la victoire du nfp en juillet dernier,NEGATIVE
" des fois, on a besoin que lannonce soit conjuguée avec une publication de 
là,  relaie une déclaration outrancièrement fausse

le gouvernement actuel nétait précisément pas aux manettes quand michel barnier a annoncé le dérapage",NEGATIVE
" trump réélu président  le premier ministre français, michel barnier, a mis en garde les européens contre le chacun pour soi après la victoire de donald trump à lélection présidentielle porteparole du gouvernement",NEGATIVE
" udr revient sur son soutien à michel barnier lors de la primaire de la droite, en 2021  il avait un programme ferme sur limmigration  maintenant, il est dans un gouvernement qui est en réalité macroniste    ",NEGATIVE
"le premier ministre  michel barnier a mis en garde les européens mercredi 6 novembre contre le chacun pour soi après la victoire de donald trump à la présidence des  plaidant pour une stratégie européenne coordonnée, a rapporté la porteparole du gouvernement",NEUTRAL
 elle nest pas la porteparole de macron mais du gouvernement dont le chef est michel barnier donc quelle la ferme,NEGATIVE
" le premier ministre, michel barnier, a mis en garde les européens contre le chacun pour soi après la victoire de donald trump, a rapporté la porteparole du gouvernement, maud bregeon ",NEGATIVE
"michel barnier, 2 mois après sa nomination 
leadership discret ou absence de contrôle  

son gouvernement frankenstein fait des vagues, mais le pm reste serein

calme dans la tempête ou capitaine sans gouvernail  

le style barnier divise quen pensezvous  ",NEGATIVE
"après lannonce de 3600 suppressions de postes en une seule journée par ces deux fleurons du capitalisme français, le gouvernement de michel barnier sest retrouvé sous le feu nourri de la gauche ",NEGATIVE
la méthode de gouvernement du premier ministre michel barnier doit faire ses preuves  ,NEUTRAL
" scandaleux  

nous étions prêts à aller au bout de lexamen du budget de la sécurité sociale mais le gouvernement a coupé les débats, et a écrasé 3 semaines de travail parlementaire   

michel barnier continue la brutalisation du parlement",NEGATIVE
"nous voulions terminer lexamen du plfss, et demandions une séance de nuit le gouvernement a refusé , ne voulant probablement pas sexpliquer sur larticle 23 gel des pensions 

et surtout, par cette manœuvre, pas de vote final sur le budget de la sécu pour éviter un désaveu",NEGATIVE
"michel barnier disait vouloir écouter lassemblée et lui laisser le temps de débattre il nen est rien le socle commun et le gouvernement ont fait tarder lexamen des amendements sur le projet de loi de financement de la sécurité sociale, qui na donc pas pu atteindre le vote",NEGATIVE
"la ministre des relations avec le parlement dit que certains amendements seront retenus
merci au rapporteur et au gouvernement de nous avoir raconté leur vie ces deux derniers jours alors quon aurait pu largement finir",NEGATIVE
"plans sociaux chez auchan et michelin  michel barnier veut savoir ce que les entreprises ont fait de largent public quon leur a donné  

cela devient du nimporte quoi ce gouvernement  que fait    ",NEGATIVE
les suppressions de postes et fermetures dusines chez  et  placent le  de michel  sur la défensive ,NEGATIVE
les associations des collectivités locales et territoriales montent au créneau contre le projet de budget du gouvernement de michel barnier sur  ,NEGATIVE
"michel barnier, en séminaire avec le gouvernement, somme ses ministres darrêter les couacs
mais à quoi sert la ministre chargée de la coordination gouvernementale marieclaire carrèregée ",NEGATIVE
"le premier ministre, michel barnier, reçoit à matignon le lundi 4 novembre tout son gouvernement et ses 40 ministres, dans lespoir de trouver des propositions à mettre en œuvre",NEUTRAL
"depuis le premier jour, le premier ministre et le gouvernement sengagent pleinement en faveur de la simplification, à tous les niveaux nous devons lever les freins qui empêchent, contraignent et complexifient 

ce weekend, michel barnier a adressé à lensemble des préfets une circulaire demandant de recenser les projets locaux  ralentis ou empêchés par la complexité de la réglementation afin daccélérer leur réalisation    
  
nous continuerons dœuvrer avec détermination pour le pouvoir dagir des élus locaux",NEGATIVE
le message de michel barnier à son gouvernement pour resserrer les rangs ,NEUTRAL
"le premier ministre, michel barnier, reçoit à matignon le lundi 4 novembre tout son gouvernement et ses 40 ministres, dans lespoir de trouver des propositions à mettre en œuvre
",NEUTRAL
"en france, les extrêmes se rejoignent avec le gouvernement de michel barnier et emmanuel macron  la politique économique probourgeoisie extrêmecentre ne passe plus chez les citoyens sans violence physique et racisme extrêmedroite  alain deneault ",NEGATIVE
"alerte  à paris, lors dun séminaire gouvernemental, michel barnier, ministre français, tente désespérément de rassembler une coalition éparpillée autour didées anachroniques sur le budget cette réunion témoigne de lineptie dun gouvernement qui narrive pas à sunir face à lurgence de politiques progressistes pendant que les véritables enjeux sociaux sont ignorés, ces leaders corrompus se concentrent sur leur propre survie politique dans une démarche honteusement égoïste   ",NEGATIVE
le gouvernement de michel barnier cherche un second souffle audelà du budget ,NEGATIVE
  oui mais maintenant comment allez vous faire pour voter une motion de censure contre le gouvernement  michel barnier est en train de vous mener en bateau,NEGATIVE
"infos de laérien  iberia, transavia, singapore airlines, air france, lufthansa, scoot, eurowings, etc le gouvernement de michel barnier continue de travailler sur une nouvelle taxe sur les vols privés,  ",NEGATIVE
"vision a 5 ans, action a 3 ans,
michel barnier réunit ses ministres pour réfléchir aux 3 prochaines années
le premier ministre réunira son gouvernement lundi pr plancher sur lavenir de la  et faire émerger, dici la fin de lannée, des propositions à mettre en œuvre sur 3ans ",NEUTRAL
"révélation  michel barnier, le ministre en quête dun semblant de légitimité, tente de rassembler sa coalition lâche pour préparer des propositions bidons audelà dun budget calamiteux ce séminaire, qui vise à masquer lincapacité totale de son gouvernement à répondre aux besoins des citoyens, est une imposture pendant que largent public sévapore, la précarité grandit, et les véritables urgences sociales restent camouflées que fontils pour nous, autres qualimenter leur égo    ",NEGATIVE
"entretien  pour le médecin et maire lr dantibes, qui donna son nom aux lois de 2005 et 2016, si le gouvernement de michel barnier permettait laccès aux soins palliatifs en france et légalité
  ",NEUTRAL
" , je pense que cest une révélation de cette rentrée michel barnier aura moins de difficultés à tenir son gouvernement que  à tenir son groupe     ",NEGATIVE
" le prochain gouvernement de jean luc mélenchon dune jeunesse éclatante de manuel bompart,mathilde panot,antoine léaument,rima hassaneque le gouvernement extrémiste des vieux de michel barnier
vivement 2027 ",NEGATIVE
" gouvernement de michel barnier le 493, à un moment ou à un autre de la discussion parlementaire, est inéluctable, déclare david amiel ",NEGATIVE
"le gouvernement de michel barnier a ressorti les éléments de langage chéris par le président emmanuel macron lorsquil sagit de diminuer les droits sociaux lobjectif aujourdhui, réduire ceux des fonctionnaires 

mon papier pour 
",NEGATIVE
"la majorité relative du gouvernement de michel barnier accumule les défaites lors des mises aux voix des amendements, déposés dans le cadre de lexamen du budget et de celui de la sécurité sociale la faute en partie à labsentéisme ",NEGATIVE
"les collègues veulent rentrer au refuge, quitter cet hôpital psychiatrique quest devenue lassemblée, où ils se sentent inutiles, confie un député modem
  ",NEGATIVE
"  oui
donc ça corrobore ce que je dis
une ministre de gauche dans un gouvernement dirigé par un homme de droite, michel barnier",NEGATIVE
"la  relative du  de michel barnier accumule les défaites lors des mises aux voix des amendements, déposés dans le cadre de lexamen du  et de celui de la  la faute en partie à l
",NEGATIVE
"le gouvernement de michel barnier pourrait être tenté duser de ses recours législatifs pour faire passer son projet de loi de finances et le durcissement du malus écologique le 493 est une option, comme larticle  ",NEGATIVE
" dès sa nomination au sein du gouvernement de michel barnier, le nouveau ministre de lintérieur avait affiché ses priorités  rétablir lordre, rétablir lordre, rétablir lordre pour ce faire, bruno retailleau promet de durcir le ton sur limmi ",NEGATIVE
"michel  abandonnés par ses députés, quil néglige   on peut comprendre le manque de présence dans la période on a un gouvernement qui ne dialogue pas et des oppositions qui vous font perdre dès quelles le désirent  
by   ",NEGATIVE
"les 3 millions de salariés au smic vont avoir la bonne surprise de voir leur rémunération légèrement progresser dès le mois prochain en dépit du contexte économique difficile, le gouvernement de michel barnier a décidé davancer au 1er novembre la revalorisation du salaire minimum qui tombe habituellement au 1er janvier il sagit en effet du dernier revenu encore indexé sur linflation en france cette année, la progression sera de 2  cela représente un gain de 23 centimes bruts par heure, soit 34,88 euros bruts par mois sur la base de la durée légale du travail de 35 heures hebdomadaires",POSITIVE
" la coordination rurale a rencontré le premier ministre, m barnier  
un résumé en deux phrases par amélie rebière, viceprésidente de la cr  michel barnier nous a assuré être contre cet accord de libreéchange mais nous a dirigés vers les eurodéputés le gouvernement na pas pris la mesure de la situation traversée par les agriculteurs
pour que le mercosur ne détruise pas notre agriculture, la cr ne lâche rien, et on reste sur le terrain  
 rejoigneznous  
 larticle complet de   
            ",NEUTRAL
" budget  je dis à michel barnier que cette situation dabsence de majorité et lextrême gravité de la situation font que le gouvernement devrait siffler la fin de la récréation très rapidement  utiliser le 493 et faire adopter ainsi le budget, dit philippe juvin ",NEGATIVE
"3110 projet de loi autorisant lapprobation de laccord entre le gouvernement de la république française et lobservatoire du réseau dantennes dun kilomètre carré skao relatif à ladhésion de la france déposée au sénat par michel barnier barnier, cosignée par 1 sénteurs",NEGATIVE
"fonctionnaire en colère  eh bien, jen suis 
le gouvernement mène une offensive contre les fonctionnaires 
sous couvert de réforme, le gouvernement de  droite extrême  mené par michel barnier engage une véritable guerre contre les agents  ",NEGATIVE
michel barnier  la gauche dépose la première motion de censure contre le nouveau gouvernement  via ,NEGATIVE
"maud bregeon, la porteparole du gouvernement a réaffirmé la volonté de michel barnier et ses ministres d aller au vote sur le budget que lassemblée nationale aura ellemême construit, plutôt quutiliser le 493

  ",NEGATIVE
"michel barnier opéré dune lésion cervicale  il va bien, il est en forme après 3 jours de repos, la porteparole du gouvernement donne des nouvelles rassurantes du premier ministre  via ",NEUTRAL
"après la mort de paul, michel barnier a reçu les associations vélo avec le sourire et plein de promesses 
deux jours après ils annulent le plan vélo et les 2 milliards promis ce gouvernement se fout des français, de leur sécurité, et de la lutte contre le changement climatique",NEGATIVE
opération de michel barnier  pourratil toujours assurer son rôle de p  via  barnier se chie dessus encore une chance il a une couche du gouvernement ,NEGATIVE
"vous ne savez pas financer votre proposition de loi, déclare 
si vous vouliez vraiment abroger la réforme des retraites, cétait assez facile, vous auriez pu censurer le gouvernement de michel barnier

  ",NEGATIVE
"nous ne voyons pas bien où se situe léconomie  il faut dire que le gouvernement compte 41 membres si sa volonté de restreindre les dépenses publiques était réelle, michel barnier aurait commencé par limiter le nombre des ministres et celui de ses collaborateurs",NEGATIVE
"à lheure où lassemblée nationale se penche sur le budget, le député de la première circonscription reste aligné au camp macroniste et met des conditions au soutien apporté à michel barnier et le nouveau gouvernement
  ",NEGATIVE
"alors que le gouvernement de michel barnier cherche à faire des économies, le coût des achats dans la fonction publique, notamment de fournitures et mobilier de ladministration, a représenté 155 milliards deuros en 2023
un témoignage ici   on est en train de refaire la salle du conseil municipal, pour les lumières dans le commerce vous avez lapplique autour de 90 euros nous, on va la payer 500 euros lunité 
",NEGATIVE
"les prisons craquent  loin daffronter cette réalité dérangeante, le gouvernement de michel barnier multiplie les propositions de surenchère pénale en fantasmant le rôle dissuasif de la peine 

lurgence est à la déflation carcérale notre communiqué ",NEGATIVE
" les prisons craquent  vite un mécanisme de régulation carcérale 

notre communiqué  ",NEUTRAL
"vous me voyez dire  super, on va supprimer 4 000 postes denseignants   revient sur son choix de refuser le poste de ministre du budget dans le gouvernement de michel barnier   ",NEGATIVE
"michel barnier  comme on peut le voir en espagne, quand cest un gouvernement de gauche, les inondations sont catastrophiques ",NEGATIVE
"   35  du gouvernement michel barnier sont issus de grandes écoles de commerce  

cest trop 
et ça se voit

article   abonnés   ",NEGATIVE
"vidéo  vu létat du pays, on a besoin dun premier ministre en forme sophie binet cgt évoque létat de santé de michel barnier
non, on na besoin que de largent que ce gouvernement de voleurs nous prend jour après jour 
basta ya   via ",NEGATIVE
"cest pourquoi place publique appelle le gouvernement de michel barnier a réellement sortir les martiniquais et les habitants de la france doutremer dune vie toujours plus chère  

59",NEGATIVE
